age,arquivo_origem,available,cluster-ip,cpu_cores,external-ip,gates,ip,memory_bytes,momento,name,node,nominated,pod_name,port_s,readiness,ready,restarts,status,type,up-to-date
,sem_csmf_metrics.txt,,,10.233.75.28:33136,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58078,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:33146,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:42056,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:42040,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:60328,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:42060,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:60330,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:50004,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:50006,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:54408,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:50030,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:54410,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:52974,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:52970,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:41740,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:52980,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:41752,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:42092,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:42102,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:39566,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:42108,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:39574,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37558,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37574,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:33434,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37582,,,,-,initial,,,,INFO:,,,,,,,
