LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
48m         Normal    Pulling                           pod/curltest-e2e-final                         Pulling image "curlimages/curl"
48m         Normal    Created                           pod/curltest-e2e-final                         Created container curltest-e2e-final
48m         Normal    Pulled                            pod/curltest-e2e-final                         Successfully pulled image "curlimages/curl" in 1.525s (1.525s including waiting). Image size: 10767170 bytes.
48m         Normal    Started                           pod/curltest-e2e-final                         Started container curltest-e2e-final
47m         Normal    Pulling                           pod/curltest-kafka-final                       Pulling image "curlimages/curl"
47m         Normal    Pulled                            pod/curltest-kafka-final                       Successfully pulled image "curlimages/curl" in 1.125s (1.125s including waiting). Image size: 10767170 bytes.
47m         Normal    Created                           pod/curltest-kafka-final                       Created container curltest-kafka-final
47m         Normal    Started                           pod/curltest-kafka-final                       Started container curltest-kafka-final
44m         Normal    AddedInterface                    pod/trisla-decision-engine-7c545c944f-zmt48    Add eth0 [10.233.102.153/32] from k8s-pod-network
46m         Normal    Pulling                           pod/curltest-kafka-valid                       Pulling image "curlimages/curl"
46m         Normal    Created                           pod/curltest-kafka-valid                       Created container curltest-kafka-valid
46m         Normal    Pulled                            pod/curltest-kafka-valid                       Successfully pulled image "curlimages/curl" in 1.9s (1.901s including waiting). Image size: 10767170 bytes.
46m         Normal    Started                           pod/curltest-kafka-valid                       Started container curltest-kafka-valid
46m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-55bb64c76d   Created pod: trisla-decision-engine-55bb64c76d-wxl8p
46m         Normal    Scheduled                         pod/trisla-decision-engine-55bb64c76d-wxl8p    Successfully assigned trisla/trisla-decision-engine-55bb64c76d-wxl8p to node1
46m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-558578dfb7-4nsx2    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
46m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-558578dfb7   Created pod: trisla-decision-engine-558578dfb7-4nsx2
46m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-55bb64c76d   Deleted pod: trisla-decision-engine-55bb64c76d-wxl8p
46m         Normal    Scheduled                         pod/trisla-decision-engine-558578dfb7-4nsx2    Successfully assigned trisla/trisla-decision-engine-558578dfb7-4nsx2 to node1
46m         Normal    Started                           pod/trisla-decision-engine-558578dfb7-4nsx2    Started container decision-engine
46m         Normal    Created                           pod/trisla-decision-engine-558578dfb7-4nsx2    Created container decision-engine
46m         Normal    Pulled                            pod/trisla-decision-engine-558578dfb7-4nsx2    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" already present on machine
46m         Normal    Killing                           pod/trisla-decision-engine-649cc75797-thjgz    Stopping container decision-engine
46m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-649cc75797   Deleted pod: trisla-decision-engine-649cc75797-thjgz
46m         Normal    Scheduled                         pod/curltest-e2e-final                         Successfully assigned trisla/curltest-e2e-final to node2
48m         Normal    AddedInterface                    pod/curltest-e2e-final                         Add eth0 [10.233.75.42/32] from k8s-pod-network
45m         Normal    Scheduled                         pod/trisla-decision-engine-94c784f67-8r4ms     Successfully assigned trisla/trisla-decision-engine-94c784f67-8r4ms to node1
45m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-94c784f67    Created pod: trisla-decision-engine-94c784f67-8r4ms
45m         Normal    Started                           pod/trisla-decision-engine-94c784f67-8r4ms     Started container decision-engine
45m         Normal    Pulled                            pod/trisla-decision-engine-94c784f67-8r4ms     Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" already present on machine
45m         Normal    Created                           pod/trisla-decision-engine-94c784f67-8r4ms     Created container decision-engine
45m         Normal    AddedInterface                    pod/trisla-decision-engine-94c784f67-8r4ms     Add eth0 [10.233.102.189/32] from k8s-pod-network
45m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-94c784f67-8r4ms     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
45m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-558578dfb7   Deleted pod: trisla-decision-engine-558578dfb7-4nsx2
45m         Normal    Killing                           pod/trisla-decision-engine-558578dfb7-4nsx2    Stopping container decision-engine
44m         Normal    Scheduled                         pod/curltest-kafka-final                       Successfully assigned trisla/curltest-kafka-final to node2
47m         Normal    AddedInterface                    pod/curltest-kafka-final                       Add eth0 [10.233.75.61/32] from k8s-pod-network
41m         Normal    AddedInterface                    pod/trisla-decision-engine-7c545c944f-d6lnn    Add eth0 [10.233.102.161/32] from k8s-pod-network
44m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-7c545c944f   Created pod: trisla-decision-engine-7c545c944f-zmt48
44m         Normal    Scheduled                         pod/trisla-decision-engine-7c545c944f-zmt48    Successfully assigned trisla/trisla-decision-engine-7c545c944f-zmt48 to node1
42m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-7c545c944f-zmt48    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
44m         Normal    Pulled                            pod/trisla-decision-engine-7c545c944f-zmt48    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" already present on machine
44m         Normal    Created                           pod/trisla-decision-engine-7c545c944f-zmt48    Created container decision-engine
44m         Normal    Started                           pod/trisla-decision-engine-7c545c944f-zmt48    Started container decision-engine
44m         Normal    Pulling                           pod/curltest-final-kafka                       Pulling image "curlimages/curl"
44m         Normal    Pulled                            pod/curltest-final-kafka                       Successfully pulled image "curlimages/curl" in 1.541s (1.541s including waiting). Image size: 10767170 bytes.
44m         Normal    Created                           pod/curltest-final-kafka                       Created container curltest-final-kafka
43m         Normal    Started                           pod/curltest-final-kafka                       Started container curltest-final-kafka
43m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-94c784f67    Deleted pod: trisla-decision-engine-94c784f67-8r4ms
43m         Normal    Killing                           pod/trisla-decision-engine-94c784f67-8r4ms     Stopping container decision-engine
43m         Warning   Unhealthy                         pod/trisla-decision-engine-94c784f67-8r4ms     Readiness probe failed: Get "http://10.233.102.189:8082/health": dial tcp 10.233.102.189:8082: connect: connection refused
43m         Normal    Scheduled                         pod/curltest-kafka-valid                       Successfully assigned trisla/curltest-kafka-valid to node2
46m         Normal    AddedInterface                    pod/curltest-kafka-valid                       Add eth0 [10.233.75.34/32] from k8s-pod-network
43m         Normal    Pulled                            pod/trisla-bc-nssmf-68bbbd4cb8-jg4j5           (combined from similar events): Successfully pulled image "ghcr.io/abelisboa/trisla-besu:v3.7.29" in 514ms (514ms including waiting). Image size: 338571986 bytes.
39m         Normal    AddedInterface                    pod/trisla-decision-engine-7c545c944f-s965t    Add eth0 [10.233.102.184/32] from k8s-pod-network
41m         Normal    Pulling                           pod/curltest-verification                      Pulling image "curlimages/curl"
41m         Normal    Created                           pod/curltest-verification                      Created container curltest-verification
41m         Normal    Started                           pod/curltest-verification                      Started container curltest-verification
41m         Normal    Pulled                            pod/curltest-verification                      Successfully pulled image "curlimages/curl" in 1.433s (1.433s including waiting). Image size: 10767170 bytes.
40m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-7c545c944f-d6lnn    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
41m         Normal    Scheduled                         pod/trisla-decision-engine-7c545c944f-d6lnn    Successfully assigned trisla/trisla-decision-engine-7c545c944f-d6lnn to node1
41m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-7c545c944f   Created pod: trisla-decision-engine-7c545c944f-d6lnn
41m         Normal    Killing                           pod/trisla-decision-engine-7c545c944f-zmt48    Stopping container decision-engine
41m         Normal    Started                           pod/trisla-decision-engine-7c545c944f-d6lnn    Started container decision-engine
41m         Normal    Created                           pod/trisla-decision-engine-7c545c944f-d6lnn    Created container decision-engine
41m         Normal    Pulled                            pod/trisla-decision-engine-7c545c944f-d6lnn    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" already present on machine
41m         Normal    Scheduled                         pod/curltest-final-kafka                       Successfully assigned trisla/curltest-final-kafka to node2
44m         Normal    AddedInterface                    pod/curltest-final-kafka                       Add eth0 [10.233.75.19/32] from k8s-pod-network
39m         Normal    Scheduled                         pod/trisla-decision-engine-7c545c944f-s965t    Successfully assigned trisla/trisla-decision-engine-7c545c944f-s965t to node1
39m         Normal    Killing                           pod/trisla-decision-engine-7c545c944f-d6lnn    Stopping container decision-engine
39m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-7c545c944f   Created pod: trisla-decision-engine-7c545c944f-s965t
39m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-c7894cf4c    Created pod: trisla-decision-engine-c7894cf4c-kt684
39m         Normal    Scheduled                         pod/trisla-decision-engine-c7894cf4c-kt684     Successfully assigned trisla/trisla-decision-engine-c7894cf4c-kt684 to node1
39m         Normal    Scheduled                         pod/trisla-decision-engine-c7894cf4c-5h7kr     Successfully assigned trisla/trisla-decision-engine-c7894cf4c-5h7kr to node1
39m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-c7894cf4c    Created pod: trisla-decision-engine-c7894cf4c-5h7kr
36m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-c7894cf4c-5h7kr     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
39m         Normal    Created                           pod/trisla-decision-engine-7c545c944f-s965t    Created container decision-engine
